Time_Hours,Well,Group,OD600,OD600_Normalized
0.0,D1,Negative control,0.10980000346899033,-0.0025666654109954834
0.25558333333333333,D1,Negative control,0.10790000110864639,-0.0015666658679644313
0.5111666666666667,D1,Negative control,0.1088000014424324,-0.008133334418137864
0.76675,D1,Negative control,0.11490000039339066,-0.003666666646798447
1.0223333333333333,D1,Negative control,0.11760000139474869,-0.0040000006556510925
1.2779444444444445,D1,Negative control,0.12150000035762787,-0.002133334676424667
1.5335277777777778,D1,Negative control,0.11900000274181366,-0.003666666646798447
1.789111111111111,D1,Negative control,0.12120000272989273,-0.003733331958452865
2.044694444444444,D1,Negative control,0.12160000205039978,-0.0034000029166539603
2.3002777777777776,D1,Negative control,0.12630000710487366,-0.0009333292643229074
2.555888888888889,D1,Negative control,0.12250000238418579,-0.004933332403500884
2.811472222222222,D1,Negative control,0.12210000306367874,-0.006333331267038972
3.0670555555555556,D1,Negative control,0.12460000067949295,-0.0050000001986821585
3.3226388888888887,D1,Negative control,0.12460000067949295,-0.006099998950958252
3.578222222222222,D1,Negative control,0.12309999763965607,-0.006500000754992158
3.8338055555555557,D1,Negative control,0.12439999729394913,-0.008133336901664734
4.089416666666667,D1,Negative control,0.1251000016927719,-0.006833329796791077
4.345,D1,Negative control,0.12620000541210175,-0.006599997480710357
4.600583333333333,D1,Negative control,0.12720000743865967,-0.005633329351743072
4.856166666666667,D1,Negative control,0.12630000710487366,-0.00623332957426706
5.11175,D1,Negative control,0.12870000302791595,-0.004133333762486785
5.367333333333334,D1,Negative control,0.1282999962568283,-0.005233332514762878
5.622916666666667,D1,Negative control,0.1307000070810318,-0.006499995787938445
5.8785,D1,Negative control,0.13050000369548798,-0.006899997591972351
6.134111111111111,D1,Negative control,0.12919999659061432,-0.008600001533826201
6.389694444444445,D1,Negative control,0.13120000064373016,-0.007599999507268279
6.645277777777777,D1,Negative control,0.13169999420642853,-0.006166671713193267
6.9008611111111104,D1,Negative control,0.13189999759197235,-0.006833334763844817
7.156444444444444,D1,Negative control,0.13529999554157257,-0.0038333386182785034
7.412027777777777,D1,Negative control,0.1340000033378601,-0.004366666078567505
7.667611111111111,D1,Negative control,0.13500000536441803,-0.003933330376942962
7.923222222222222,D1,Negative control,0.13420000672340393,-0.006433327992757171
8.178805555555556,D1,Negative control,0.13449999690055847,-0.005233337481816619
8.434388888888888,D1,Negative control,0.13600000739097595,-0.0058666616678237915
8.689972222222222,D1,Negative control,0.13600000739097595,-0.004566659530003875
8.945555555555556,D1,Negative control,0.1356000006198883,-0.005633334318796784
9.201138888888888,D1,Negative control,0.13619999587535858,-0.004633332292238862
9.456750000000001,D1,Negative control,0.13680000603199005,-0.0031666656335195
9.712333333333333,D1,Negative control,0.1371999979019165,-0.0036666691303253174
9.967916666666667,D1,Negative control,0.13750000298023224,-0.00510000189145407
10.223583333333334,D1,Negative control,0.1396999955177307,-0.003600001335144043
10.479138888888889,D1,Negative control,0.1388999968767166,-0.0027666687965393066
10.73475,D1,Negative control,0.14149999618530273,-0.00146666665871939
10.990333333333332,D1,Negative control,0.14030000567436218,-0.0010666648546854562
11.245916666666668,D1,Negative control,0.1428000032901764,-0.0025666654109954834
11.5015,D1,Negative control,0.14229999482631683,-0.0015333394209543771
11.757083333333334,D1,Negative control,0.1428000032901764,0.0007666697104772024
12.012666666666666,D1,Negative control,0.14339999854564667,0.00023333231608071991
12.268249999999998,D1,Negative control,0.14380000531673431,0.0009666730960210257
12.523861111111112,D1,Negative control,0.14270000159740448,-0.0024666686852773123
12.779444444444444,D1,Negative control,0.14409999549388885,-0.0019666701555252075
13.035027777777778,D1,Negative control,0.1445000022649765,-0.0013999988635381155
13.29061111111111,D1,Negative control,0.14429999887943268,-0.0006666680177052908
13.546194444444446,D1,Negative control,0.14560000598430634,-0.0013666599988937378
13.801805555555555,D1,Negative control,0.14300000667572021,-0.0007333308458328247
14.057416666666667,D1,Negative control,0.1454000025987625,-0.001166661580403655
14.313,D1,Negative control,0.1460999995470047,-0.00039999683698019317
14.56861111111111,D1,Negative control,0.1445000022649765,-0.0008666664361953735
14.824194444444444,D1,Negative control,0.14509999752044678,-0.0030000011126200266
15.079777777777776,D1,Negative control,0.14650000631809235,-0.001166661580403655
15.335361111111112,D1,Negative control,0.1451999992132187,-0.0030000011126200266
15.590972222222222,D1,Negative control,0.14569999277591705,-0.0021333396434783936
15.846555555555556,D1,Negative control,0.14569999277591705,-0.002566670378049224
16.102138888888888,D1,Negative control,0.1467999964952469,-0.0017666667699813843
16.357722222222222,D1,Negative control,0.1459999978542328,-0.001999999086062104
16.613305555555556,D1,Negative control,0.14589999616146088,-0.0013000021378199167
16.86888888888889,D1,Negative control,0.14640000462532043,-0.0018333295981089182
17.12447222222222,D1,Negative control,0.14550000429153442,-0.0033333301544189453
17.380083333333335,D1,Negative control,0.14589999616146088,-0.0035666674375534058
17.635666666666665,D1,Negative control,0.1444000005722046,-0.002899999419848115
17.89125,D1,Negative control,0.14480000734329224,-0.005399997035662324
18.146833333333333,D1,Negative control,0.14650000631809235,-0.0009333292643229074
18.402416666666667,D1,Negative control,0.1467999964952469,-0.0018333395322163992
18.658027777777775,D1,Negative control,0.1460999995470047,-0.0017666667699813843
18.91363888888889,D1,Negative control,0.14560000598430634,-0.002899994452794402
19.16925,D1,Negative control,0.14820000529289246,-0.0008666664361953735
19.424833333333332,D1,Negative control,0.14810000360012054,-0.0019999941190083914
19.680416666666666,D1,Negative control,0.1454000025987625,-0.0020333329836527414
19.936,D1,Negative control,0.14489999413490295,-0.00146666665871939
