Well,Group,AUC
D1,Negative control,0.0005026628094276797
D2,Negative control,0.02621917158568689
D3,Negative control,0.051578031726801504
D4,Positive control (pAX),0.13602880459295988
D5,Positive control (pAX),0.11630137888849133
D6,Positive control (pAX),0.14781990139841675
D7,Sample C,0.2120113648575961
D8,Sample C,0.19761367245290878
D9,Sample C,0.06593407377303996
