Well,Group,K,mu,lambda
D4,Positive control (pAX),0.014522117564061415,0.0032806650394309744,0.7012663316582914
D5,Positive control (pAX),0.014401574500841093,0.0023426884323044447,0.0
D6,Positive control (pAX),0.018399708023117668,0.004943396333800837,0.0
D7,Sample C,0.017046104881183452,0.005332073855524543,0.0
D8,Sample C,0.01894322913600021,0.001975208750877873,0.0
D9,Sample C,0.01816247701482679,0.0030681832590230378,5.6101306532663315
